Game,Publisher,Genre,Release Year,ESRB Rating,Multiplayer,Metacritic Score,Exclusivity,Sales N.A.,Sales Eur,Sales Jap,Sales Other,Sales Total
Aquaman: Battle for Atlantis,Take-Two Interactive,ActionAdventure,2003,T,1,27,No,0.01,NA,NA,NA,0.01
Asterix & Obelix XXL,Atari,ActionAdventure,2004,E,1,NA,No,NA,NA,NA,NA,NA
Avatar: The Last Airbender,THQ,ActionAdventure,2006,E10,1,60,No,0.39,0.1,NA,0.01,0.5
Barnyard,THQ,ActionAdventure,2006,E10,1,66,No,0.09,0.02,NA,NA,0.12
Batman Begins,Electronic Arts,ActionAdventure,2005,T,1,66,No,0.11,0.03,NA,NA,0.15
Batman: Dark Tomorrow,Kemco,ActionAdventure,2003,T,1,29,No,0.06,0.02,NA,NA,0.08
Batman: Rise of Sin Tzu,Ubisoft,ActionAdventure,2003,T,2,63,Yes,0.05,0.01,NA,NA,0.06
Batman: Vengeance,Ubisoft,ActionAdventure,2001,T,1,70,Yes,0.2,0.05,NA,0.01,0.26
BeyBlade VForce: Super Tournament Battle,Atari,ActionAdventure,2002,E,4,33,Yes,0.16,0.04,NA,0.01,0.21
Beyond Good & Evil,Ubisoft,ActionAdventure,2003,T,1,87,No,0.06,0.01,NA,NA,0.07
Bionicle,Electronic Arts,ActionAdventure,2003,E,1,47,No,0.16,0.04,NA,0.01,0.21
Blood Omen 2,Eidos Interactive,ActionAdventure,2002,M,1,71,No,0.04,0.01,NA,NA,0.05
Bomberman Generation,Vivendi Games,ActionAdventure,2002,E,4,81,Yes,0.15,0.04,0.06,0.01,0.25
Bomberman Jetters,Hudson Soft,ActionAdventure,2002,E,4,70,Yes,0.06,0.02,NA,NA,0.08
Bomberman Land 2,Hudson Soft,ActionAdventure,2003,E,4,NA,No,NA,NA,NA,NA,NA
Bratz: Forever Diamondz,THQ,ActionAdventure,2006,E,1,NA,No,0.17,0.04,NA,0.01,0.21
Bratz: Rock Angelz,THQ,ActionAdventure,2005,E,1,NA,No,0.16,0.04,NA,0.01,0.2
Buffy the Vampire Slayer: Chaos Bleeds,Vivendi Games,ActionAdventure,2003,T,4,75,No,0.02,0.01,NA,NA,0.03
Carmen Sandiego: The Secret of the Stolen Drums,BAM! Entertainment,ActionAdventure,2004,E,1,57,No,0.02,NA,NA,NA,0.02
Catwoman,Electronic Arts,ActionAdventure,2004,T,1,47,No,0.05,0.01,NA,NA,0.07
Charlie and the Chocolate Factory,Global Star,ActionAdventure,2005,E,1,39,No,0.14,0.04,NA,NA,0.18
Charlie's Angels,Ubisoft,ActionAdventure,2003,T,1,23,No,0.01,NA,NA,NA,0.02
Chibi-Robo! Plug into Adventure!,Nintendo,ActionAdventure,2005,E10,1,75,Yes,0.23,0.06,0.09,0.01,0.39
Conan,Take-Two Interactive,ActionAdventure,2005,NA,2,NA,No,NA,NA,NA,NA,NA
Cubivore: Survival of the Fittest,Nintendo,ActionAdventure,2002,E,1,71,Yes,0.01,NA,0.15,NA,0.17
Cubix Robots for Everyone: Showdown,3DO,ActionAdventure,2003,E,4,NA,No,NA,NA,NA,NA,NA
Curious George,Namco Bandai Games,ActionAdventure,2006,E,1,53,No,0.11,0.03,NA,NA,0.15
Darkened Skye,Take-Two Interactive,ActionAdventure,2002,T,1,61,No,0.01,NA,NA,NA,0.01
Def Jam: Fight for NY,Electronic Arts,ActionAdventure,2004,M,2,84,No,0.17,0.05,NA,0.01,0.22
Defender,Midway Games,ActionAdventure,2002,T,2,66,No,0.08,0.02,NA,NA,0.11
Dinotopia: The Sunstone Odyssey,Take-Two Interactive,ActionAdventure,2003,T,1,50,No,0.01,NA,NA,NA,0.02
Disney's Hide & Sneak,Capcom,ActionAdventure,2003,E,1,46,Yes,0.03,0.01,NA,NA,0.03
Disney's Magical Mirror Starring Mickey Mouse,Nintendo,ActionAdventure,2002,E,1,50,Yes,0.15,0.04,NA,0.01,0.19
Disney's Meet the Robinsons,Disney Interactive Studios,ActionAdventure,2007,E10,1,68,No,0.03,0.01,NA,NA,0.04
Dora the Explorer: Journey to the Purple Planet,Global Star,ActionAdventure,2005,E,1,NA,No,0.09,0.02,NA,NA,0.12
Enter the Matrix,Atari,ActionAdventure,2003,T,1,63,No,0.34,0.09,0.02,0.01,0.45
Eternal Darkness: Sanity's Requiem,Nintendo,ActionAdventure,2002,M,1,92,Yes,0.34,0.09,NA,0.01,0.44
Fantastic 4,Activision,ActionAdventure,2005,T,2,61,No,0.19,0.05,NA,0.01,0.24
Finding Nemo,THQ,ActionAdventure,2003,E,1,62,No,0.69,0.18,NA,0.02,0.89
Fireblade,Midway Games,ActionAdventure,2002,T,1,NA,No,0.02,0.01,NA,NA,0.03
From Russia With Love,Electronic Arts,ActionAdventure,2005,T,4,70,No,0.17,0.04,NA,0.01,0.22
Gauntlet: Dark Legacy,Midway Games,ActionAdventure,2002,T,4,60,No,0.14,0.04,NA,NA,0.18
Geist,Nintendo,ActionAdventure,2005,M,4,66,Yes,0.11,0.03,NA,NA,0.15
Happy Feet,Midway Games,ActionAdventure,2006,E,2,NA,No,0.2,0.05,NA,0.01,0.25
Harry Potter and the Chamber of Secrets,Electronic Arts,ActionAdventure,2002,E,1,77,No,0.53,0.14,NA,0.02,0.69
Harry Potter and the Goblet of Fire,Electronic Arts,ActionAdventure,2005,E10,3,69,No,0.32,0.08,NA,0.01,0.42
Harry Potter and the Prisoner of Azkaban,Electronic Arts,ActionAdventure,2004,E,1,67,No,0.29,0.08,NA,0.01,0.38
Harry Potter and the Sorcerer's Stone,Electronic Arts,ActionAdventure,2003,E,1,62,No,0.06,0.02,NA,NA,0.08
Hello Kitty: Roller Rescue,Empire Interactive,ActionAdventure,2005,E,1,64,No,0.06,0.02,NA,NA,0.08
Hitman 2: Silent Assassin,Eidos Interactive,ActionAdventure,2003,M,1,83,No,0.1,0.03,NA,NA,0.13
Hulk,Universal Interactive,ActionAdventure,2003,T,1,71,No,0.15,0.04,NA,0.01,0.19
Hunter: The Reckoning,Virgin Interactive,ActionAdventure,2002,M,4,70,No,0.08,0.02,NA,NA,0.1
Killer7,Capcom,ActionAdventure,2005,M,1,74,No,0.12,0.03,NA,NA,0.15
King Arthur,Konami Digital Entertainment,ActionAdventure,2004,T,2,60,No,0.03,0.01,NA,NA,0.04
Knights of the Temple: Infernal Crusade,Take-Two Interactive,ActionAdventure,2004,M,1,NA,No,NA,NA,NA,NA,NA
Konjiki no Gashbell!! Yuujou no Tag Battle Full Power,Namco Bandai Games,ActionAdventure,2004,NA,2,NA,No,NA,NA,NA,NA,NA
Korokke! Ban-Ou no Kiki o Sukue,Konami Digital Entertainment,ActionAdventure,2004,NA,2,NA,No,NA,NA,NA,NA,NA
Largo Winch: Empire Under Threat,Ubisoft,ActionAdventure,2002,NA,1,NA,No,NA,NA,NA,NA,NA
LEGO Star Wars II: The Original Trilogy,LucasArts,ActionAdventure,2006,E10,2,84,No,0.75,0.19,NA,0.03,0.97
LEGO Star Wars: The Video Game,LucasArts,ActionAdventure,2005,E,2,79,No,1.09,0.28,NA,0.04,1.41
Luigi's Mansion,Nintendo,ActionAdventure,2001,E,1,78,Yes,2.38,0.67,0.46,0.1,3.6
Lupin III: Umi ni Kieta Hihou,Asmik Ace Entertainment,ActionAdventure,2003,NA,1,NA,Yes,NA,NA,NA,NA,NA
Metal Gear Solid: The Twin Snakes,Konami Digital Entertainment,ActionAdventure,2004,M,1,85,Yes,0.3,0.08,0.07,0.01,0.47
Minority Report: Everybody Runs,Activision,ActionAdventure,2002,T,1,53,No,0.08,0.02,NA,NA,0.1
Mobile Suit Gundam: Senshitachi no Kiseki,Namco Bandai Games,ActionAdventure,2004,NA,1,NA,Yes,NA,NA,NA,NA,NA
Monster House,THQ,ActionAdventure,2006,E10,1,60,No,0.11,0.03,NA,NA,0.14
Mystic Heroes,Tecmo Koei,ActionAdventure,2002,T,4,67,Yes,0.03,0.01,0.04,NA,0.09
Nicktoons: Battle for Volcano Island,THQ,ActionAdventure,2006,E,4,NA,No,0.22,0.06,NA,0.01,0.29
Nicktoons: Unite!,THQ,ActionAdventure,2005,E,2,NA,No,0.27,0.07,NA,0.01,0.35
Ohenro-San: Hosshin no Dojo,Pin Change,ActionAdventure,2003,NA,1,NA,Yes,NA,NA,NA,NA,NA
Pac-Man World 2,Namco Bandai Games,ActionAdventure,2002,E,1,74,No,0.28,0.07,NA,0.01,0.37
Peter Jackson's King Kong: The Official Game of the Movie,Ubisoft,ActionAdventure,2005,T,1,81,No,0.19,0.05,NA,0.01,0.24
Pokemon Channel,Nintendo,ActionAdventure,2003,E,1,55,Yes,0.24,0.06,0.07,0.01,0.38
Power Rangers: Dino Thunder,THQ,ActionAdventure,2004,E,1,49,No,0.31,0.08,NA,0.01,0.4
Prince of Persia: The Sands of Time,Ubisoft,ActionAdventure,2003,T,1,92,No,0.25,0.06,NA,0.01,0.32
Prince of Persia: The Two Thrones,Ubisoft,ActionAdventure,2005,T,1,84,No,0.11,0.03,NA,NA,0.15
Prince of Persia: Warrior Within,Ubisoft,ActionAdventure,2004,T,1,83,No,0.15,0.04,NA,0.01,0.2
Rampage: Total Destruction,Midway Games,ActionAdventure,2006,E10,4,57,No,0.31,0.08,NA,0.01,0.4
Resident Evil,Capcom,ActionAdventure,2002,M,1,91,Yes,0.63,0.38,0.35,0.05,1.42
Resident Evil - Code: Veronica X,Capcom,ActionAdventure,2003,M,1,62,No,0.05,0.01,NA,NA,0.06
Resident Evil 2,Capcom,ActionAdventure,2003,M,1,59,Yes,0.04,0.01,NA,NA,0.06
Resident Evil 3: Nemesis,Capcom,ActionAdventure,2003,M,1,62,Yes,0.06,0.02,NA,NA,0.08
Resident Evil 4,Capcom,ActionAdventure,2005,M,1,96,No,0.98,0.42,0.22,0.06,1.69
Resident Evil Zero,Capcom,ActionAdventure,2002,M,1,83,Yes,0.54,0.27,0.45,0.04,1.29
RoadKill,Midway Games,ActionAdventure,2003,M,4,64,No,0.02,0.01,NA,NA,0.03
Robots,Vivendi Games,ActionAdventure,2005,E,1,56,No,0.12,0.03,NA,NA,0.16
Rogue Ops,Kemco,ActionAdventure,2003,M,1,65,No,0.04,0.01,NA,NA,0.05
Samurai Jack: The Shadow of Aku,Sega,ActionAdventure,2004,T,1,59,No,0.01,NA,NA,NA,0.02
Scooby-Doo! Mystery Mayhem,THQ,ActionAdventure,2004,E,1,54,No,0.17,0.04,NA,0.01,0.22
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,Activision,ActionAdventure,2005,E,1,NA,No,0.07,0.02,NA,NA,0.09
Second Sight,Codemasters,ActionAdventure,2004,T,1,77,No,0.04,0.01,NA,NA,0.05
Shark Tale,Activision,ActionAdventure,2004,E,1,69,No,0.23,0.06,NA,0.01,0.3
Shrek SuperSlam,Activision,ActionAdventure,2005,E10,4,70,No,0.17,0.04,NA,0.01,0.22
Spartan: Total Warrior,Sega,ActionAdventure,2005,M,1,73,No,0.05,0.01,NA,NA,0.07
Spawn: Armageddon,Electronic Arts,ActionAdventure,2003,M,1,61,No,0.05,0.01,NA,NA,0.07
Sphinx and the Cursed Mummy,THQ,ActionAdventure,2003,T,1,79,No,0.11,0.03,NA,NA,0.14
Spider-Man 2,Activision,ActionAdventure,2004,T,1,80,No,0.65,0.17,NA,0.02,0.84
Spider-Man: The Movie,Activision,ActionAdventure,2002,E,1,76,No,0.86,0.27,0.01,0.04,1.19
Star Fox Adventures,Nintendo,ActionAdventure,2002,T,1,82,Yes,0.96,0.53,0.3,0.09,1.87
Superman: Shadow of Apokolips,Atari,ActionAdventure,2003,E,1,66,No,0.06,0.02,NA,NA,0.08
Teen Titans,THQ,ActionAdventure,2006,E10,4,63,No,0.25,0.07,NA,0.01,0.33
Teenage Mutant Ninja Turtles 2: Battle Nexus,Konami Digital Entertainment,ActionAdventure,2004,T,4,49,No,0.15,0.04,NA,0.01,0.19
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,Konami Digital Entertainment,ActionAdventure,2005,E10,4,57,No,0.09,0.02,NA,NA,0.12
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,THQ,ActionAdventure,2004,E,1,65,No,0.22,0.06,NA,0.01,0.28
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,THQ,ActionAdventure,2003,E,1,60,No,0.09,0.02,NA,NA,0.11
"The Chronicles of Narnia: The Lion, The Witch and The Wordrobe",Disney Interactive Studios,ActionAdventure,2005,T,2,71,No,0.22,0.06,NA,0.01,0.28
The Grim Adventures of Billy & Mandy,Midway Games,ActionAdventure,2006,E10,4,69,No,0.13,0.03,NA,NA,0.17
The Incredible Hulk: Ultimate Destruction,Vivendi Games,ActionAdventure,2005,T,1,84,No,0.11,0.03,NA,NA,0.15
The Incredibles,THQ,ActionAdventure,2004,T,1,63,No,0.65,0.17,NA,0.02,0.84
The Legend of Zelda: Four Swords Adventures,Nintendo,ActionAdventure,2004,E,4,86,Yes,0.63,0.16,NA,0.02,0.81
The Legend of Zelda: Ocarina of Time / Master Quest,Nintendo,ActionAdventure,2002,E,1,91,Yes,NA,NA,NA,NA,NA
The Legend of Zelda: The Wind Waker,Nintendo,ActionAdventure,2002,E,1,96,Yes,2.6,0.99,0.89,0.13,4.6
The Legend of Zelda: Twilight Princess,Nintendo,ActionAdventure,2006,T,1,96,Yes,1.15,0.36,0.04,0.04,1.59
The Lord of the Rings: The Return of the King,Electronic Arts,ActionAdventure,2003,T,2,84,No,0.53,0.14,NA,0.02,0.69
The Lord of the Rings: The Two Towers,Electronic Arts,ActionAdventure,2002,T,1,82,No,0.41,0.11,NA,0.01,0.53
The Polar Express,THQ,ActionAdventure,2004,E,1,40,No,0.08,0.02,NA,NA,0.11
The Powerpuff Girls: Relish Rampage,BAM! Entertainment,ActionAdventure,2002,E,1,NA,No,0.05,0.01,NA,NA,0.07
The Scorpion King: Rise of the Akkadian,Universal Interactive,ActionAdventure,2002,T,1,49,No,0.08,0.02,NA,NA,0.11
TMNT,Ubisoft,ActionAdventure,2007,E10,1,63,No,NA,NA,NA,NA,NA
Tom and Jerry in War of the Whiskers,NewKidCo,ActionAdventure,2003,T,4,NA,No,0.05,0.01,NA,NA,0.07
Tom Clancy's Splinter Cell,Ubisoft,ActionAdventure,2003,T,1,89,No,0.18,0.05,NA,0.01,0.23
Tom Clancy's Splinter Cell: Chaos Theory,Ubisoft,ActionAdventure,2005,M,2,81,No,0.08,0.02,NA,NA,0.1
Tom Clancy's Splinter Cell: Double Agent,Ubisoft,ActionAdventure,2006,M,2,64,No,0.04,0.01,NA,NA,0.06
Tom Clancy's Splinter Cell: Pandora Tomorrow,Ubisoft,ActionAdventure,2004,T,1,78,No,0.06,0.02,NA,NA,0.08
Tomb Raider: Legend,Eidos Interactive,ActionAdventure,2006,T,1,78,No,0.06,0.02,NA,NA,0.08
Tonka Rescue Patrol,Take-Two Interactive,ActionAdventure,2003,E,1,NA,Yes,0.05,0.01,NA,NA,0.06
True Crime: New York City,Activision,ActionAdventure,2005,M,1,59,No,0.13,0.03,NA,NA,0.17
True Crime: Streets of LA,Activision,ActionAdventure,2003,M,1,77,No,0.44,0.11,NA,0.02,0.56
Ty the Tasmanian Tiger 3: Night of the Quinkan,Activision,ActionAdventure,2005,T,2,68,No,0.07,0.02,NA,NA,0.09
Ultimate Spider-Man,Activision,ActionAdventure,2005,T,1,76,No,0.29,0.07,NA,0.01,0.37
Viewtiful Joe,Capcom,ActionAdventure,2003,T,1,93,No,0.38,0.1,0.12,0.02,0.62
Viewtiful Joe 2,Capcom,ActionAdventure,2004,T,1,86,No,0.17,0.04,NA,0.01,0.22
Viewtiful Joe: Red Hot Rumble,Capcom,ActionAdventure,2005,T,4,62,Yes,0.04,0.01,NA,NA,0.06
X-Men: The Official Game,Activision,ActionAdventure,2006,T,1,50,No,0.12,0.03,NA,NA,0.15
Zoids Vs.,Tomy Corporation,ActionAdventure,2002,T,2,NA,Yes,NA,NA,NA,NA,NA
Zoids: Battle Legends,Tomy Corporation,ActionAdventure,2003,T,2,NA,Yes,0.12,0.03,NA,NA,0.15
Intellivision Lives!,Crave Entertainment,Collection,2004,E,4,61,No,0.05,0.01,NA,NA,0.06
Mega Man X Collection,Capcom,Collection,2006,E,2,75,No,0.1,0.03,NA,NA,0.13
Midway Arcade Treasures,Midway Games,Collection,2003,T,4,72,No,0.13,0.03,NA,NA,0.17
Midway Arcade Treasures 2,Midway Games,Collection,2004,M,4,74,No,0.13,0.03,NA,NA,0.16
Midway Arcade Treasures 3,Midway Games,Collection,2005,E,4,65,No,0.05,0.01,NA,NA,0.07
Namco Museum,Namco Bandai Games,Collection,2002,E,2,62,No,0.48,0.13,NA,0.02,0.63
Namco Museum: 50th Anniversary,Namco Bandai Games,Collection,2005,E10,2,60,No,0.17,0.04,NA,0.01,0.21
Pac-Man Player's Choice Bundle,Namco Bandai Games,Collection,2003,E,4,NA,Yes,0.48,0.12,NA,0.02,0.62
Sonic Gems Collection,Sega,Collection,2005,E,4,64,No,0.32,0.08,NA,0.01,0.42
Sonic Mega Collection,Sega,Collection,2002,E,2,75,No,1.47,0.48,0.05,0.06,2.05
Barbarian,Virgin Interactive,Fighting,2003,T,2,NA,No,NA,NA,NA,NA,NA
Battle Stadium D.O.N,Namco Bandai Games,Fighting,2006,NA,4,NA,No,NA,NA,0.09,NA,0.09
Black & Bruised,Vivendi Games,Fighting,2003,T,2,66,No,0.04,0.01,NA,NA,0.05
Bleach GC: Tasogare Ni Mamieru Shinigami,Sega,Fighting,2005,NA,2,NA,Yes,NA,NA,0.08,NA,0.09
Bloody Roar: Primal Fury,Activision,Fighting,2002,T,2,75,Yes,0.14,0.04,NA,NA,0.18
Capcom vs. SNK 2 EO,Capcom,Fighting,2002,T,2,68,Yes,0.09,0.02,NA,NA,0.11
David Douillet Judo,BigBen Interactive,Fighting,2006,E,2,NA,No,NA,NA,NA,NA,NA
Def Jam Vendetta,Electronic Arts,Fighting,2003,T,2,81,No,0.19,0.05,NA,0.01,0.25
Digimon Rumble Arena 2,Atari,Fighting,2004,T,4,71,No,0.03,0.01,NA,NA,0.04
Dragon Ball Z: Budokai,Atari,Fighting,2003,T,2,65,No,0.53,0.14,NA,0.02,0.69
Dragon Ball Z: Budokai 2,Atari,Fighting,2004,T,2,66,No,0.21,0.06,NA,0.01,0.27
Dragon Ball Z: Sagas,Atari,Fighting,2005,T,2,48,No,0.16,0.04,NA,0.01,0.21
DreamMix TV: World Fighters,Hudson Soft,Fighting,2003,NA,4,NA,No,NA,NA,NA,NA,NA
Fight Night Round 2,Electronic Arts,Fighting,2005,T,2,87,No,0.13,0.03,NA,NA,0.17
Godzilla: Destroy All Monsters Melee,Atari,Fighting,2002,T,4,73,Yes,0.55,0.14,NA,0.02,0.71
Legends of Wrestling,Acclaim Entertainment,Fighting,2002,T,4,50,No,0.1,0.03,NA,NA,0.13
Legends of Wrestling II,Acclaim Entertainment,Fighting,2002,T,4,59,No,0.09,0.02,NA,NA,0.12
Marvel Nemesis: Rise of the Imperfects,Electronic Arts,Fighting,2005,T,2,54,No,0.3,0.08,NA,0.01,0.38
Mortal Kombat: Deadly Alliance,Midway Games,Fighting,2002,M,2,81,No,0.31,0.08,NA,0.01,0.41
Mortal Kombat: Deception,Midway Games,Fighting,2005,M,2,77,No,0.09,0.02,NA,NA,0.11
Naruto: Clash of Ninja,Tomy Corporation,Fighting,2003,T,2,72,Yes,0.53,0.14,0.21,0.03,0.89
Naruto: Clash of Ninja 2,Nintendo,Fighting,2003,T,4,74,Yes,0.44,0.12,0.45,0.03,1.04
Naruto: Gekitou Ninja Taisen! 3,Tomy Corporation,Fighting,2004,T,4,NA,Yes,NA,NA,0.43,0.01,0.44
Naruto: Gekitou Ninja Taisen! 4,Tomy Corporation,Fighting,2005,T,4,NA,Yes,NA,NA,0.32,0.01,0.33
One Piece: Grand Adventure,Namco Bandai Games,Fighting,2006,T,2,70,No,0.03,0.01,NA,NA,0.04
One Piece: Grand Battle,Namco Bandai Games,Fighting,2005,T,2,67,No,0.05,0.01,NA,NA,0.06
One Piece: Grand Battle! 3,Namco Bandai Games,Fighting,2003,NA,2,NA,No,NA,NA,0.2,0.01,0.2
One Piece: Treasure Battle!,Namco Bandai Games,Fighting,2002,NA,4,NA,Yes,NA,NA,0.28,0.01,0.29
Rave Master,Konami Digital Entertainment,Fighting,2002,T,4,60,Yes,NA,NA,0.05,NA,0.05
Rocky,Rage Software,Fighting,2002,T,2,74,No,0.07,0.02,NA,NA,0.09
SoulCalibur II,Namco Bandai Games,Fighting,2003,T,2,93,No,0.99,0.32,0.11,0.08,1.5
Super Smash Bros. Melee,Nintendo,Fighting,2001,E,4,92,Yes,4.41,1.04,1.39,0.22,7.07
TMNT: Mutant Melee,Konami Digital Entertainment,Fighting,2005,T,4,44,No,0.06,0.01,NA,NA,0.07
Ultimate Fighting Championship: Throwdown,Ubisoft,Fighting,2002,T,2,67,No,0.06,0.02,NA,NA,0.08
Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Genration,Namco Bandai Games,Fighting,2002,T,4,77,Yes,0.04,0.01,0.08,NA,0.14
WWE Day of Reckoning,THQ,Fighting,2004,T,4,79,Yes,0.35,0.09,NA,0.01,0.45
WWE Day of Reckoning 2,THQ,Fighting,2005,T,4,76,Yes,0.26,0.07,NA,0.01,0.34
WWE Wrestlemania X8,THQ,Fighting,2002,T,4,64,Yes,0.38,0.1,NA,0.01,0.49
WWE Wrestlemania XIX,THQ,Fighting,2003,T,4,76,Yes,0.26,0.07,NA,0.01,0.33
X-Men: Next Dimension,Activision,Fighting,2002,T,2,63,No,0.1,0.03,NA,NA,0.13
Zatch Bell! Mamodo Battles,Namco Bandai Games,Fighting,2005,T,2,57,No,0.05,0.01,NA,NA,0.06
Zatch Bell! Mamodo Fury,Namco Bandai Games,Fighting,2005,T,4,44,No,0.03,0.01,NA,NA,0.04
Zoids: Full Metal Crash,Tomy Corporation,Fighting,2005,NA,2,NA,Yes,NA,NA,NA,NA,NA
Eisei Meijin VI,Konami Digital Entertainment,Miscellaneous,2002,NA,2,NA,No,NA,NA,NA,NA,NA
Hikaru no Go 3,Konami Digital Entertainment,Miscellaneous,2003,NA,2,NA,Yes,NA,NA,NA,NA,NA
Momotarou Dentetsu 11,Hudson Soft,Miscellaneous,2002,NA,1,NA,No,NA,NA,0.07,NA,0.08
Momotarou Dentetsu 12,Hudson Soft,Miscellaneous,2003,NA,1,NA,No,NA,NA,NA,NA,NA
Pinball Hall of Fame: The Gottlieb Collection,Crave Entertainment,Miscellaneous,2005,E,4,64,No,0.04,0.01,NA,NA,0.05
Pokemon Box: Ruby and Sapphire,Nintendo,Miscellaneous,2003,E,1,NA,Yes,NA,NA,0.27,0.01,0.28
World Series of Poker,Activision,Miscellaneous,2005,E10,1,44,No,0.04,0.01,NA,NA,0.05
Dance Dance Revolution: Mario Mix,Nintendo,Music,2005,E,2,69,Yes,0.36,0.09,0.5,0.01,0.97
Donkey Konga,Nintendo,Music,2003,E,4,76,Yes,0.5,0.16,0.46,0.03,1.15
Donkey Konga 2,Nintendo,Music,2004,T,4,69,Yes,0.3,0.08,NA,0.01,0.39
Donkey Konga 3: Tabe-houdai! Haru Mogitate 50 Kyoku,Nintendo,Music,2005,NA,2,NA,Yes,NA,NA,NA,NA,NA
